Date,HDFC Top 100 Fund,SBI Bluechip Fund,ICICI Pru Focused Equity,Axis Bluechip Fund,Mirae Asset Large Cap,Kotak Bluechip Fund,Nippon India Large Cap,UTI Mastershare Fund,Canara Robeco Bluechip,DSP Top 100 Equity Fund,Franklin India Bluechip,Tata Large Cap Fund,Aditya Birla SL Frontline,Invesco India Largecap,IDFC Large Cap Fund,HDFC Mid-Cap Opportunities,SBI Magnum Midcap Fund,ICICI Pru Midcap Fund,Axis Midcap Fund,Mirae Asset Midcap Fund,Kotak Emerging Equity,Nippon India Growth Fund,UTI Mid Cap Fund,DSP Midcap Fund,Franklin India Prima Fund,HDFC Small Cap Fund,SBI Small Cap Fund,ICICI Pru Smallcap Fund,Axis Small Cap Fund,Nippon India Small Cap,Kotak Small Cap Fund,DSP Small Cap Fund,Tata Small Cap Fund,HDFC Flexi Cap Fund,SBI Flexi Cap Fund,Parag Parikh Flexi Cap,UTI Flexi Cap Fund,Canara Robeco Flexi Cap,PGIM India Flexi Cap,Mirae Asset Flexi Cap Fund
2019-01-01,99.4749,99.0459,100.7236,98.1018,98.8482,99.8169,98.939,99.586,99.4446,99.5401,98.4979,99.3273,99.4747,99.437,99.5456,98.4331,98.3158,99.0776,99.133,100.0861,99.531,99.1669,99.3067,99.4944,98.8045,98.8344,99.9529,98.8111,99.0305,98.7167,99.2161,99.1903,98.7813,99.0378,98.4052,97.919,99.5433,99.0576,99.6923,100.3904
2019-01-02,98.5235,98.5219,99.5525,98.6958,98.5319,99.1153,98.5884,99.2264,99.2692,98.5582,97.7525,99.0945,97.8165,99.1178,99.0661,99.0176,98.0361,98.7434,99.1444,100.3757,100.6584,99.7224,98.8378,99.4103,98.3287,98.5031,99.9774,98.8964,98.7415,98.2762,97.6385,98.7075,97.9054,97.9404,98.1592,96.8248,99.1451,99.1501,98.2386,100.5353
2019-01-03,97.6032,98.0262,98.0771,97.9623,98.1022,98.3038,97.7555,97.9559,98.8262,98.052,97.5102,98.5357,96.52,99.0642,99.083,98.2832,95.6702,97.8063,98.3145,99.8437,100.026,99.0513,98.2597,98.8705,98.0436,98.0161,100.0307,97.6976,98.0724,98.1117,98.4146,97.4226,97.5249,96.6038,98.2414,96.0331,98.1411,98.9718,98.2018,100.8866
2019-01-04,96.8938,96.3385,95.9814,96.5241,96.064,96.5655,96.1215,96.2057,96.8561,96.8066,95.3134,95.9579,95.1054,97.798,97.5442,96.6215,93.7759,97.0568,96.8073,98.7494,97.2761,97.8361,97.5233,96.8124,97.4515,96.5837,99.5778,95.9892,97.2985,97.4535,97.201,95.7881,95.4984,95.1981,97.5731,93.7654,96.2193,98.2181,95.9474,99.7755
2019-01-07,97.7781,96.6837,96.8017,96.2579,96.3556,96.5663,95.127,97.1657,97.2179,97.0457,95.6036,96.8157,94.9892,98.2757,98.1711,97.1806,94.9441,98.0606,96.6714,99.326,97.6373,97.7726,98.1041,97.7148,97.9486,96.9186,100.4495,96.4828,97.5111,97.8565,98.4676,95.448,96.1556,95.3427,97.6241,93.9474,95.5316,99.5827,97.072,100.0519
2019-01-08,98.0996,96.5799,97.7307,96.7389,96.9103,97.2875,95.6982,97.5241,97.9566,97.8897,96.579,98.3205,95.8874,98.584,98.3802,96.8302,94.7454,99.1482,97.0657,100.2804,96.9233,98.285,97.908,98.0361,98.5584,97.0378,101.9257,96.4958,97.496,98.696,97.259,97.1048,95.9905,96.1801,97.2616,93.3833,96.5142,100.0994,97.4331,100.9051
2019-01-09,97.8959,96.8009,97.4871,97.0184,96.6116,96.6797,95.6716,97.409,97.8487,98.3963,96.6076,98.0592,94.9318,98.3883,98.043,95.9356,94.9193,99.1523,97.3211,100.2399,98.8194,98.6344,97.6759,97.4952,98.8376,97.3238,101.8525,96.4593,98.1651,98.1505,98.2768,96.6234,96.5266,95.6175,96.2476,94.5102,97.0967,100.5814,97.3967,100.1599
2019-01-10,96.3839,95.8364,97.7381,95.6154,95.8735,96.1542,95.2566,97.7526,97.9891,98.1493,96.4661,97.0818,95.0681,97.742,97.925,95.6866,94.2872,99.2795,96.9939,99.6877,99.0419,99.0289,97.7948,97.0738,99.2386,96.7553,101.3005,96.3324,97.4527,98.8106,97.7874,96.3618,96.1955,96.2467,96.0858,93.3886,97.3406,102.1547,97.5762,99.6534
2019-01-11,94.2454,93.4065,97.3871,94.2794,94.4307,93.8971,93.8698,95.95,96.7166,96.3407,94.4565,94.2899,92.8304,96.1224,95.9657,93.7042,92.0413,96.7239,96.1424,98.1018,98.0605,97.3115,96.8635,95.0729,97.9736,94.6925,100.6091,94.0514,96.1242,96.6338,97.3917,95.5189,94.3449,94.2961,96.2204,93.0354,95.8885,101.2431,95.8657,98.2286
2019-01-14,95.0665,93.2042,98.1239,94.7739,94.1712,94.0774,92.6375,95.4976,96.184,95.8128,94.6657,93.1851,92.234,95.0106,95.4392,93.1816,92.3008,96.7085,95.5319,98.1281,98.1815,96.28,96.0792,94.5095,97.7811,93.9635,99.4503,93.1857,95.061,96.1037,97.2028,94.8873,93.7475,93.2614,95.4067,91.4095,95.9253,100.5466,94.5767,97.1104
